Song,Artist,Language,Primary Rhythm Skill,Difficulty
Knockin on Heaven's Door,Bob Dylan,English,Basic 4/4 strumming,Beginner
Horse with No Name,America,English,Two chord steady groove,Beginner
Love Me Do,The Beatles,English,Simple down-up rhythm,Beginner
Stand By Me,Ben E. King,English,Classic pop rhythm,Beginner
Zombie,The Cranberries,English,Power chord rhythm,Beginner
Wonderwall,Oasis,English,Open chord rhythm consistency,Beginner
Leaving on a Jet Plane,John Denver,English,Folk strumming,Beginner
Take Me Home Country Roads,John Denver,English,Country rhythm,Beginner
Perfect,Ed Sheeran,English,Slow pop strumming,Beginner
Let It Be,The Beatles,English,Basic chord transitions,Beginner
Chura Liya Hai Tumne Jo Dil Ko,Asha Bhosle,Mohammed Rafi,Hindi,Soft Bollywood rhythm,Beginner
Pehla Nasha,Udit Narayan,Hindi,Slow ballad rhythm,Beginner
Tum Hi Ho,Arijit Singh,Hindi,Slow arpeggio rhythm,Beginner
Kabira (Encore),Arijit Singh,Hindi,Folk style strumming,Beginner
Pal,K.K.,Hindi,Basic Bollywood pop rhythm,Beginner
Give Me Some Sunshine,Suraj Jagan,Hindi,Acoustic strumming,Beginner
Tera Hone Laga Hoon,Atif Aslam,Hindi,Pop rhythm,Beginner
Raabta,Arijit Singh,Hindi,Soft acoustic rhythm,Beginner
Ilahi,Arijit Singh,Hindi,Upbeat strumming,Beginner
Agar Tum Saath Ho,Alka Yagnik,Hindi,Ballad rhythm,Beginner
Yellow,Coldplay,English,Steady 8th note strumming,Intermediate
I'm Yours,Jason Mraz,English,Reggae strumming,Intermediate
Riptide,Vance Joy,English,Island strumming pattern,Intermediate
Boulevard of Broken Dreams,Green Day,English,Rock rhythm groove,Intermediate
Hey There Delilah,Plain White T's,English,Fingerstyle rhythm,Intermediate
Hotel California,Eagles,English,Arpeggio rhythm control,Intermediate
Stairway to Heaven (Intro),Led Zeppelin,English,Arpeggiated rhythm,Intermediate
Thinking Out Loud,Ed Sheeran,English,Soul rhythm,Intermediate
Shape of You,Ed Sheeran,English,Muted rhythmic groove,Intermediate
Counting Stars,OneRepublic,English,Driving pop rhythm,Intermediate
Tum Se Hi,Mohit Chauhan,Hindi,Soft Bollywood strumming,Intermediate
Kun Faya Kun,A.R. Rahman,Hindi,Folk rhythmic groove,Intermediate
Phir Le Aya Dil,Arijit Singh,Hindi,Slow rhythmic feel,Intermediate
Channa Mereya,Arijit Singh,Hindi,Ballad rhythm control,Intermediate
Dil Chahta Hai,Shankar Mahadevan,Hindi,Pop rhythm guitar,Intermediate
Aadat,Jal,Hindi/Urdu,Rock strumming,Intermediate
Dooba Dooba,Silk Route,Hindi/Indie,Indie pop rhythm,Intermediate
Saiyyan,Kailash Kher,Hindi,Folk rhythmic flow,Intermediate
Tum Ho,Mohit Chauhan,Hindi,Dynamic rhythm control,Intermediate
Aarambh,Agnee,Hindi,Indian rock rhythm,Intermediate
Sultans of Swing,Dire Straits,English,Syncopated rhythm,Advanced
Under the Bridge,Red Hot Chili Peppers,English,Funk rhythm feel,Advanced
Message in a Bottle,The Police,English,Complex arpeggio rhythm,Advanced
Blackbird,The Beatles,English,Independent rhythm picking,Advanced
Neon,John Mayer,English,Advanced percussive rhythm,Advanced
Stop This Train,John Mayer,English,Thumb slap rhythm,Advanced
Little Wing,Jimi Hendrix,English,Rhythm fills,Advanced
Gravity,John Mayer,English,Slow blues rhythm feel,Advanced
Tears in Heaven,Eric Clapton,English,Fingerstyle rhythm control,Advanced
More Than Words,Extreme,English,Advanced fingerstyle rhythm,Advanced
Nadaan Parindey,A.R. Rahman,Hindi,Dynamic rock rhythm,Advanced
Rock On,Farhan Akhtar,Hindi,Driving rock rhythm,Advanced
Bulleya,Amit Mishra,Hindi,Powerful rhythmic strumming,Advanced
Mitwa,Shankar Mahadevan,Hindi,Syncopated Bollywood rhythm,Advanced
Lakshya Title Track,Shankar Mahadevan,Hindi,Anthemic rhythm guitar,Advanced
Zinda,Siddharth Mahadevan,Hindi,Modern rock rhythm,Advanced
Dil Se Re,A.R. Rahman,Hindi,Changing rhythmic sections,Advanced
Bhaag Milkha Bhaag Title Track,Shankar Mahadevan,Hindi,Fast rhythmic groove,Advanced
Aazadiyan,Pritam,Hindi,Dynamic acoustic rhythm,Advanced
